Month,Day,Hour,Consumption_kWh
1,5,20,0.5228
1,5,21,0.51
1,5,22,0.4291
1,5,23,0.3018
1,6,0,0.2468
1,6,1,0.2345
1,6,2,0.2155
1,6,3,0.2145
1,6,4,0.2294
1,6,5,0.2789
1,6,6,0.3272
1,6,7,0.4518
1,6,8,0.4356
1,6,9,0.387
1,6,10,0.3615
1,6,11,0.3469
1,6,12,0.3526
1,6,13,0.3793
1,6,14,0.3718
1,6,15,0.4119
1,6,16,0.4663
1,6,17,0.5055
1,6,18,0.5886
1,6,19,0.6345
1,6,20,0.6108
1,6,21,0.5797
1,6,22,0.4931
1,6,23,0.3545
1,7,0,0.2288
1,7,1,0.2257
1,7,2,0.2077
1,7,3,0.1988
1,7,4,0.2266
1,7,5,0.2651
1,7,6,0.3335
1,7,7,0.4241
1,7,8,0.3819
1,7,9,0.3738
1,7,10,0.3483
1,7,11,0.3291
1,7,12,0.3351
1,7,13,0.3229
1,7,14,0.3558
1,7,15,0.3733
1,7,16,0.4216
1,7,17,0.4756
1,7,18,0.5165
1,7,19,0.5527
1,7,20,0.5593
1,7,21,0.5152
1,7,22,0.4399
1,7,23,0.3299
1,8,0,0.2825
1,8,1,0.2525
1,8,2,0.2244
1,8,3,0.2386
1,8,4,0.2473
1,8,5,0.3077
1,8,6,0.3857
1,8,7,0.5155
1,8,8,0.4488
1,8,9,0.4119
1,8,10,0.3921
1,8,11,0.3816
1,8,12,0.4133
1,8,13,0.4007
1,8,14,0.4156
1,8,15,0.4607
1,8,16,0.4851
1,8,17,0.569
1,8,18,0.6245
1,8,19,0.6468
1,8,20,0.671
1,8,21,0.6132
1,8,22,0.5071
1,8,23,0.3693
1,9,0,0.2553
1,9,1,0.2373
1,9,2,0.2147
1,9,3,0.2014
1,9,4,0.2242
1,9,5,0.276
1,9,6,0.3432
1,9,7,0.4761
1,9,8,0.4252
1,9,9,0.3586
1,9,10,0.3424
1,9,11,0.35
1,9,12,0.3512
1,9,13,0.3413
1,9,14,0.3862
1,9,15,0.3857
1,9,16,0.4444
1,9,17,0.501
1,9,18,0.5612
1,9,19,0.6091
1,9,20,0.5558
1,9,21,0.5642
1,9,22,0.4563
1,9,23,0.3233
1,10,0,0.2499
1,10,1,0.2285
1,10,2,0.2135
1,10,3,0.2124
1,10,4,0.2372
1,10,5,0.2695
1,10,6,0.3315
1,10,7,0.4412
1,10,8,0.4296
1,10,9,0.3943
1,10,10,0.3764
1,10,11,0.3512
1,10,12,0.3505
1,10,13,0.3608
1,10,14,0.3826
1,10,15,0.4071
1,10,16,0.4235
1,10,17,0.5269
1,10,18,0.5892
1,10,19,0.5833
1,10,20,0.583
1,10,21,0.559
1,10,22,0.4483
1,10,23,0.3238
1,11,0,0.2735
1,11,1,0.2422
1,11,2,0.2283
1,11,3,0.2311
1,11,4,0.2374
1,11,5,0.2854
1,11,6,0.3442
1,11,7,0.5119
1,11,8,0.446
1,11,9,0.3994
1,11,10,0.395
1,11,11,0.3976
1,11,12,0.3961
1,11,13,0.3791
1,11,14,0.3845
1,11,15,0.4168
1,11,16,0.4906
1,11,17,0.5475
1,11,18,0.5793
1,11,19,0.6772
1,11,20,0.6247
1,11,21,0.579
1,11,22,0.4728
1,11,23,0.3569
1,12,0,0.249
1,12,1,0.2337
1,12,2,0.2236
1,12,3,0.2081
1,12,4,0.2483
1,12,5,0.2817
1,12,6,0.3372
1,12,7,0.4961
1,12,8,0.4354
1,12,9,0.3949
1,12,10,0.3755
1,12,11,0.369
1,12,12,0.3636
1,12,13,0.3526
1,12,14,0.3844
1,12,15,0.4161
1,12,16,0.4516
1,12,17,0.5289
1,12,18,0.5866
1,12,19,0.6267
1,12,20,0.5837
1,12,21,0.5739
1,12,22,0.471
1,12,23,0.3599
1,13,0,0.2454
1,13,1,0.216
1,13,2,0.2064
1,13,3,0.1986
1,13,4,0.2118
1,13,5,0.2605
1,13,6,0.3335
1,13,7,0.4366
1,13,8,0.4125
1,13,9,0.3602
1,13,10,0.3313
1,13,11,0.3342
1,13,12,0.3275
1,13,13,0.3541
1,13,14,0.3564
1,13,15,0.3809
1,13,16,0.4073
1,13,17,0.4675
1,13,18,0.5378
1,13,19,0.583
1,13,20,0.5788
1,13,21,0.5197
1,13,22,0.4198
1,13,23,0.3054
1,14,0,0.2534
1,14,1,0.2344
1,14,2,0.1967
1,14,3,0.2027
1,14,4,0.2331
1,14,5,0.2755
1,14,6,0.3249
1,14,7,0.4524
1,14,8,0.4224
1,14,9,0.3736
1,14,10,0.3555
1,14,11,0.3603
1,14,12,0.3618
1,14,13,0.3439
1,14,14,0.3588
1,14,15,0.3877
1,14,16,0.4245
1,14,17,0.4879
1,14,18,0.565
1,14,19,0.6058
1,14,20,0.5918
1,14,21,0.5159
1,14,22,0.4576
1,14,23,0.3125
1,15,0,0.2491
1,15,1,0.2276
1,15,2,0.2105
1,15,3,0.215
1,15,4,0.239
1,15,5,0.2815
1,15,6,0.3303
1,15,7,0.4779
1,15,8,0.4403
1,15,9,0.4042
1,15,10,0.3673
1,15,11,0.3562
1,15,12,0.3529
1,15,13,0.3846
1,15,14,0.3857
1,15,15,0.4187
1,15,16,0.4545
1,15,17,0.5057
1,15,18,0.6049
1,15,19,0.6022
1,15,20,0.5854
1,15,21,0.5509
1,15,22,0.4985
1,15,23,0.3318
1,16,0,0.2495
1,16,1,0.2236
1,16,2,0.1997
1,16,3,0.2098
1,16,4,0.2281
1,16,5,0.2753
1,16,6,0.3442
1,16,7,0.4443
1,16,8,0.3955
1,16,9,0.3877
1,16,10,0.3455
1,16,11,0.3422
1,16,12,0.3592
1,16,13,0.3514
1,16,14,0.363
1,16,15,0.3818
1,16,16,0.4405
1,16,17,0.5138
1,16,18,0.5641
1,16,19,0.6277
1,16,20,0.5954
1,16,21,0.5412
1,16,22,0.4716
1,16,23,0.3237
1,17,0,0.2553
1,17,1,0.2513
1,17,2,0.2321
1,17,3,0.2145
1,17,4,0.2334
1,17,5,0.2763
1,17,6,0.3629
1,17,7,0.4752
1,17,8,0.433
1,17,9,0.4063
1,17,10,0.3743
1,17,11,0.3935
1,17,12,0.3829
1,17,13,0.3719
1,17,14,0.4036
1,17,15,0.4378
1,17,16,0.4541
1,17,17,0.5401
1,17,18,0.6006
1,17,19,0.6172
1,17,20,0.6206
1,17,21,0.5564
1,17,22,0.4731
1,17,23,0.3672
1,18,0,0.2376
1,18,1,0.2223
1,18,2,0.2039
1,18,3,0.2113
1,18,4,0.2148
1,18,5,0.2573
1,18,6,0.3334
1,18,7,0.4647
1,18,8,0.3943
1,18,9,0.37
1,18,10,0.331
1,18,11,0.3379
1,18,12,0.344
1,18,13,0.3558
1,18,14,0.3729
1,18,15,0.3782
1,18,16,0.4248
1,18,17,0.4801
1,18,18,0.5684
1,18,19,0.6205
1,18,20,0.5564
1,18,21,0.5543
1,18,22,0.4616
1,18,23,0.3333
1,19,0,0.251
1,19,1,0.2326
1,19,2,0.2096
1,19,3,0.2132
1,19,4,0.2363
1,19,5,0.2851
1,19,6,0.3328
1,19,7,0.4577
1,19,8,0.4116
1,19,9,0.368
1,19,10,0.3655
1,19,11,0.3625
1,19,12,0.3581
1,19,13,0.3614
1,19,14,0.3897
1,19,15,0.3854
1,19,16,0.4661
1,19,17,0.5019
1,19,18,0.5872
1,19,19,0.6211
1,19,20,0.5771
1,19,21,0.5558
1,19,22,0.4444
1,19,23,0.3315
1,20,0,0.2628
1,20,1,0.2375
1,20,2,0.2144
1,20,3,0.2001
1,20,4,0.2378
1,20,5,0.2602
1,20,6,0.3352
1,20,7,0.4654
1,20,8,0.4226
1,20,9,0.387
1,20,10,0.3682
1,20,11,0.3487
1,20,12,0.36
1,20,13,0.3723
1,20,14,0.3712
1,20,15,0.4092
1,20,16,0.4436
1,20,17,0.5109
1,20,18,0.5665
1,20,19,0.6322
1,20,20,0.586
1,20,21,0.567
1,20,22,0.4659
1,20,23,0.3389
1,21,0,0.2702
1,21,1,0.2552
1,21,2,0.2215
1,21,3,0.2305
1,21,4,0.2393
1,21,5,0.2908
1,21,6,0.3623
1,21,7,0.5079
1,21,8,0.4416
1,21,9,0.3908
1,21,10,0.3979
1,21,11,0.3729
1,21,12,0.366
1,21,13,0.3932
1,21,14,0.3916
1,21,15,0.428
1,21,16,0.4645
1,21,17,0.5188
1,21,18,0.6093
1,21,19,0.6681
1,21,20,0.6609
1,21,21,0.5799
1,21,22,0.4776
1,21,23,0.3532
1,22,0,0.2797
1,22,1,0.2489
1,22,2,0.2202
1,22,3,0.229
1,22,4,0.2502
1,22,5,0.306
1,22,6,0.3555
1,22,7,0.4842
1,22,8,0.4679
1,22,9,0.409
1,22,10,0.4011
1,22,11,0.3877
1,22,12,0.3836
1,22,13,0.3979
1,22,14,0.428
1,22,15,0.4369
1,22,16,0.4875
1,22,17,0.5642
1,22,18,0.5931
1,22,19,0.6795
1,22,20,0.6182
1,22,21,0.6041
1,22,22,0.4886
1,22,23,0.3675
1,23,0,0.2776
1,23,1,0.2413
1,23,2,0.2277
1,23,3,0.2215
1,23,4,0.2513
1,23,5,0.3076
1,23,6,0.3823
1,23,7,0.4967
1,23,8,0.4404
1,23,9,0.4014
1,23,10,0.3822
1,23,11,0.3845
1,23,12,0.3899
1,23,13,0.4018
1,23,14,0.4089
1,23,15,0.4349
1,23,16,0.4998
1,23,17,0.543
1,23,18,0.6173
1,23,19,0.6567
1,23,20,0.6771
1,23,21,0.5956
1,23,22,0.5292
1,23,23,0.3639
1,24,0,0.2701
1,24,1,0.2429
1,24,2,0.2214
1,24,3,0.217
1,24,4,0.246
1,24,5,0.2891
1,24,6,0.3549
1,24,7,0.4848
1,24,8,0.4527
1,24,9,0.4205
1,24,10,0.3695
1,24,11,0.3698
1,24,12,0.3673
1,24,13,0.3877
1,24,14,0.3997
1,24,15,0.4182
1,24,16,0.4778
1,24,17,0.5585
1,24,18,0.6138
1,24,19,0.6728
1,24,20,0.6234
1,24,21,0.5759
1,24,22,0.515
1,24,23,0.3799
1,25,0,0.2247
1,25,1,0.2183
1,25,2,0.1905
1,25,3,0.1916
1,25,4,0.2201
1,25,5,0.2578
1,25,6,0.2933
1,25,7,0.4297
1,25,8,0.3742
1,25,9,0.3411
1,25,10,0.3421
1,25,11,0.3249
1,25,12,0.329
1,25,13,0.3322
1,25,14,0.3402
1,25,15,0.359
1,25,16,0.4057
1,25,17,0.4723
1,25,18,0.5019
1,25,19,0.5542
1,25,20,0.5378
1,25,21,0.4914
1,25,22,0.404
1,25,23,0.3024
1,26,0,0.2853
1,26,1,0.2623
1,26,2,0.225
1,26,3,0.224
1,26,4,0.2563
1,26,5,0.308
1,26,6,0.3747
1,26,7,0.5233
1,26,8,0.4744
1,26,9,0.4053
1,26,10,0.3979
1,26,11,0.3995
1,26,12,0.3705
1,26,13,0.4066
1,26,14,0.4147
1,26,15,0.4294
1,26,16,0.4693
1,26,17,0.548
1,26,18,0.6026
1,26,19,0.6897
1,26,20,0.6251
1,26,21,0.583
1,26,22,0.4862
1,26,23,0.3704
1,27,0,0.2585
1,27,1,0.2313
1,27,2,0.2031
1,27,3,0.2095
1,27,4,0.2272
1,27,5,0.2738
1,27,6,0.317
1,27,7,0.4727
1,27,8,0.4135
1,27,9,0.3744
1,27,10,0.3371
1,27,11,0.3507
1,27,12,0.3601
1,27,13,0.3555
1,27,14,0.3884
1,27,15,0.3824
1,27,16,0.4421
1,27,17,0.4936
1,27,18,0.5445
1,27,19,0.5815
1,27,20,0.5759
1,27,21,0.553
1,27,22,0.4727
1,27,23,0.3132
1,28,0,0.2384
1,28,1,0.2135
1,28,2,0.186
1,28,3,0.1962
1,28,4,0.2175
1,28,5,0.2509
1,28,6,0.304
1,28,7,0.4426
1,28,8,0.3919
1,28,9,0.3388
1,28,10,0.3293
1,28,11,0.3385
1,28,12,0.3208
1,28,13,0.3305
1,28,14,0.3371
1,28,15,0.3826
1,28,16,0.4065
1,28,17,0.4916
1,28,18,0.5087
1,28,19,0.5901
1,28,20,0.5303
1,28,21,0.4847
1,28,22,0.4437
1,28,23,0.3035
1,29,0,0.2308
1,29,1,0.2178
1,29,2,0.1875
1,29,3,0.1891
1,29,4,0.22
1,29,5,0.2543
1,29,6,0.3154
1,29,7,0.4415
1,29,8,0.3854
1,29,9,0.3572
1,29,10,0.3424
1,29,11,0.3265
1,29,12,0.3378
1,29,13,0.3417
1,29,14,0.3589
1,29,15,0.3752
1,29,16,0.411
1,29,17,0.4843
1,29,18,0.4993
1,29,19,0.5851
1,29,20,0.524
1,29,21,0.5075
1,29,22,0.4185
1,29,23,0.3156
1,30,0,0.2733
1,30,1,0.2677
1,30,2,0.236
1,30,3,0.2433
1,30,4,0.265
1,30,5,0.2964
1,30,6,0.3559
1,30,7,0.5263
1,30,8,0.4711
1,30,9,0.411
1,30,10,0.3989
1,30,11,0.3837
1,30,12,0.4083
1,30,13,0.3843
1,30,14,0.4054
1,30,15,0.4605
1,30,16,0.4707
1,30,17,0.559
1,30,18,0.5974
1,30,19,0.7061
1,30,20,0.6196
1,30,21,0.6161
1,30,22,0.5136
1,30,23,0.3683
1,31,0,0.2802
1,31,1,0.2615
1,31,2,0.2251
1,31,3,0.2364
1,31,4,0.2546
1,31,5,0.3163
1,31,6,0.3575
1,31,7,0.4977
1,31,8,0.4411
1,31,9,0.4249
1,31,10,0.3963
1,31,11,0.4013
1,31,12,0.4127
1,31,13,0.3774
1,31,14,0.4324
1,31,15,0.4364
1,31,16,0.497
1,31,17,0.5815
1,31,18,0.5959
1,31,19,0.6606
1,31,20,0.6737
1,31,21,0.5847
1,31,22,0.4898
1,31,23,0.3679
2,1,0,0.2706
2,1,1,0.2662
2,1,2,0.2359
2,1,3,0.2428
2,1,4,0.2654
2,1,5,0.2904
2,1,6,0.3713
2,1,7,0.5145
2,1,8,0.4773
2,1,9,0.403
2,1,10,0.412
2,1,11,0.3892
2,1,12,0.4095
2,1,13,0.4155
2,1,14,0.4398
2,1,15,0.4604
2,1,16,0.5053
2,1,17,0.5415
2,1,18,0.6051
2,1,19,0.7118
2,1,20,0.6562
2,1,21,0.6116
2,1,22,0.4897
2,1,23,0.3903
2,2,0,0.2892
2,2,1,0.255
2,2,2,0.2269
2,2,3,0.2392
2,2,4,0.2641
2,2,5,0.3098
2,2,6,0.3776
2,2,7,0.529
2,2,8,0.458
2,2,9,0.4284
2,2,10,0.387
2,2,11,0.3972
2,2,12,0.3919
2,2,13,0.3846
2,2,14,0.4104
2,2,15,0.4214
2,2,16,0.4859
2,2,17,0.5803
2,2,18,0.6174
2,2,19,0.6805
2,2,20,0.6225
2,2,21,0.6269
2,2,22,0.4966
2,2,23,0.3553
2,3,0,0.2816
2,3,1,0.2365
2,3,2,0.2222
2,3,3,0.2205
2,3,4,0.2519
2,3,5,0.3066
2,3,6,0.3722
2,3,7,0.4802
2,3,8,0.4296
2,3,9,0.3863
2,3,10,0.3909
2,3,11,0.3656
2,3,12,0.3888
2,3,13,0.3696
2,3,14,0.397
2,3,15,0.4092
2,3,16,0.4747
2,3,17,0.5266
2,3,18,0.6268
2,3,19,0.6611
2,3,20,0.6199
2,3,21,0.5631
2,3,22,0.5149
2,3,23,0.3575
2,4,0,0.2885
2,4,1,0.2613
2,4,2,0.25
2,4,3,0.2323
2,4,4,0.2743
2,4,5,0.3
2,4,6,0.3989
2,4,7,0.5342
2,4,8,0.474
2,4,9,0.4166
2,4,10,0.3966
2,4,11,0.4195
2,4,12,0.387
2,4,13,0.3931
2,4,14,0.4308
2,4,15,0.4475
2,4,16,0.4798
2,4,17,0.5995
2,4,18,0.6366
2,4,19,0.6633
2,4,20,0.7009
2,4,21,0.6446
2,4,22,0.5367
2,4,23,0.3724
2,5,0,0.2396
2,5,1,0.2282
2,5,2,0.2054
2,5,3,0.2026
2,5,4,0.213
2,5,5,0.2585
2,5,6,0.3138
2,5,7,0.4231
2,5,8,0.4074
2,5,9,0.3675
2,5,10,0.3313
2,5,11,0.3537
2,5,12,0.3309
2,5,13,0.3382
2,5,14,0.3568
2,5,15,0.3891
2,5,16,0.4071
2,5,17,0.4809
2,5,18,0.522
2,5,19,0.6084
2,5,20,0.5571
2,5,21,0.5329
2,5,22,0.4253
2,5,23,0.3161
2,6,0,0.2418
2,6,1,0.2224
2,6,2,0.1973
2,6,3,0.2054
2,6,4,0.2211
2,6,5,0.2771
2,6,6,0.3428
2,6,7,0.4305
2,6,8,0.4226
2,6,9,0.362
2,6,10,0.3328
2,6,11,0.3489
2,6,12,0.3646
2,6,13,0.3487
2,6,14,0.3809
2,6,15,0.3975
2,6,16,0.4237
2,6,17,0.5105
2,6,18,0.5707
2,6,19,0.6018
2,6,20,0.5649
2,6,21,0.5354
2,6,22,0.4535
2,6,23,0.3411
2,7,0,0.2543
2,7,1,0.2301
2,7,2,0.2068
2,7,3,0.2043
2,7,4,0.2438
2,7,5,0.2898
2,7,6,0.3548
2,7,7,0.4861
2,7,8,0.4307
2,7,9,0.3768
2,7,10,0.374
2,7,11,0.3605
2,7,12,0.363
2,7,13,0.3765
2,7,14,0.3989
2,7,15,0.4165
2,7,16,0.4472
2,7,17,0.5234
2,7,18,0.6002
2,7,19,0.5985
2,7,20,0.6115
2,7,21,0.5662
2,7,22,0.4631
2,7,23,0.3386
2,8,0,0.2447
2,8,1,0.2199
2,8,2,0.2057
2,8,3,0.2011
2,8,4,0.2335
2,8,5,0.2607
2,8,6,0.3456
2,8,7,0.4551
2,8,8,0.4261
2,8,9,0.379
2,8,10,0.3528
2,8,11,0.3523
2,8,12,0.3606
2,8,13,0.3462
2,8,14,0.396
2,8,15,0.41
2,8,16,0.4627
2,8,17,0.5166
2,8,18,0.5842
2,8,19,0.6016
2,8,20,0.5836
2,8,21,0.5323
2,8,22,0.4449
2,8,23,0.3476
2,9,0,0.2605
2,9,1,0.2224
2,9,2,0.2022
2,9,3,0.2179
2,9,4,0.2332
2,9,5,0.2607
2,9,6,0.3247
2,9,7,0.4828
2,9,8,0.4408
2,9,9,0.3981
2,9,10,0.3654
2,9,11,0.3606
2,9,12,0.3541
2,9,13,0.3481
2,9,14,0.397
2,9,15,0.4185
2,9,16,0.4318
2,9,17,0.4939
2,9,18,0.5465
2,9,19,0.6115
2,9,20,0.6182
2,9,21,0.5483
2,9,22,0.4803
2,9,23,0.3314
2,10,0,0.2654
2,10,1,0.2325
2,10,2,0.2184
2,10,3,0.2197
2,10,4,0.2417
2,10,5,0.2672
2,10,6,0.3521
2,10,7,0.4857
2,10,8,0.4221
2,10,9,0.3988
2,10,10,0.362
2,10,11,0.3777
2,10,12,0.3451
2,10,13,0.3529
2,10,14,0.3734
2,10,15,0.4227
2,10,16,0.4511
2,10,17,0.5248
2,10,18,0.5571
2,10,19,0.6452
2,10,20,0.5763
2,10,21,0.535
2,10,22,0.4655
2,10,23,0.3552
2,11,0,0.2993
2,11,1,0.2653
2,11,2,0.2425
2,11,3,0.2331
2,11,4,0.2717
2,11,5,0.3012
2,11,6,0.392
2,11,7,0.549
2,11,8,0.4882
2,11,9,0.4537
2,11,10,0.4174
2,11,11,0.4105
2,11,12,0.4239
2,11,13,0.4279
2,11,14,0.4381
2,11,15,0.4686
2,11,16,0.5055
2,11,17,0.5643
2,11,18,0.6572
2,11,19,0.7364
2,11,20,0.6712
2,11,21,0.6461
2,11,22,0.535
2,11,23,0.4043
2,12,0,0.234
2,12,1,0.2137
2,12,2,0.1964
2,12,3,0.2045
2,12,4,0.2288
2,12,5,0.2705
2,12,6,0.3304
2,12,7,0.4445
2,12,8,0.4001
2,12,9,0.3499
2,12,10,0.3546
2,12,11,0.3565
2,12,12,0.3583
2,12,13,0.3387
2,12,14,0.352
2,12,15,0.3743
2,12,16,0.431
2,12,17,0.4901
2,12,18,0.5524
2,12,19,0.5951
2,12,20,0.5416
2,12,21,0.5514
2,12,22,0.4397
2,12,23,0.3119
2,13,0,0.2727
2,13,1,0.2638
2,13,2,0.232
2,13,3,0.2252
2,13,4,0.2485
2,13,5,0.2928
2,13,6,0.3766
2,13,7,0.5143
2,13,8,0.493
2,13,9,0.4323
2,13,10,0.4156
2,13,11,0.4067
2,13,12,0.3829
2,13,13,0.4056
2,13,14,0.4234
2,13,15,0.4685
2,13,16,0.4915
2,13,17,0.5721
2,13,18,0.6632
2,13,19,0.6627
2,13,20,0.644
2,13,21,0.6237
2,13,22,0.53
2,13,23,0.3705
2,14,0,0.2852
2,14,1,0.2474
2,14,2,0.2316
2,14,3,0.227
2,14,4,0.2493
2,14,5,0.2863
2,14,6,0.3821
2,14,7,0.5136
2,14,8,0.4447
2,14,9,0.4101
2,14,10,0.3969
2,14,11,0.4097
2,14,12,0.386
2,14,13,0.3953
2,14,14,0.4217
2,14,15,0.4215
2,14,16,0.4686
2,14,17,0.5304
2,14,18,0.5954
2,14,19,0.6572
2,14,20,0.6748
2,14,21,0.6236
2,14,22,0.4897
2,14,23,0.3539
2,15,0,0.2747
2,15,1,0.2366
2,15,2,0.2285
2,15,3,0.2235
2,15,4,0.2348
2,15,5,0.2783
2,15,6,0.3541
2,15,7,0.4804
2,15,8,0.4415
2,15,9,0.3974
2,15,10,0.3572
2,15,11,0.3553
2,15,12,0.3893
2,15,13,0.358
2,15,14,0.4004
2,15,15,0.4176
2,15,16,0.4686
2,15,17,0.5413
2,15,18,0.5898
2,15,19,0.6328
2,15,20,0.6391
2,15,21,0.5772
2,15,22,0.4601
2,15,23,0.3568
2,16,0,0.2714
2,16,1,0.2305
2,16,2,0.2092
2,16,3,0.2136
2,16,4,0.2416
2,16,5,0.2706
2,16,6,0.3338
2,16,7,0.4799
2,16,8,0.4406
2,16,9,0.3715
2,16,10,0.3707
2,16,11,0.3821
2,16,12,0.3669
2,16,13,0.3748
2,16,14,0.3993
2,16,15,0.4157
2,16,16,0.4627
2,16,17,0.5446
2,16,18,0.5754
2,16,19,0.6325
2,16,20,0.6219
2,16,21,0.5567
2,16,22,0.4965
2,16,23,0.3623
2,17,0,0.2958
2,17,1,0.2681
2,17,2,0.2332
2,17,3,0.2295
2,17,4,0.2551
2,17,5,0.3103
2,17,6,0.3855
2,17,7,0.5313
2,17,8,0.4739
2,17,9,0.447
2,17,10,0.417
2,17,11,0.4114
2,17,12,0.3942
2,17,13,0.4109
2,17,14,0.4486
2,17,15,0.4438
2,17,16,0.5078
2,17,17,0.5965
2,17,18,0.6714
2,17,19,0.6683
2,17,20,0.6729
2,17,21,0.6103
2,17,22,0.5213
2,17,23,0.3739
2,18,0,0.2352
2,18,1,0.2298
2,18,2,0.1942
2,18,3,0.2103
2,18,4,0.2321
2,18,5,0.2723
2,18,6,0.3082
2,18,7,0.463
2,18,8,0.4008
2,18,9,0.3661
2,18,10,0.3292
2,18,11,0.3315
2,18,12,0.3401
2,18,13,0.354
2,18,14,0.3704
2,18,15,0.3733
2,18,16,0.4313
2,18,17,0.4804
2,18,18,0.5334
2,18,19,0.5966
2,18,20,0.5534
2,18,21,0.5465
2,18,22,0.4252
2,18,23,0.3302
2,19,0,0.2623
2,19,1,0.2348
2,19,2,0.2134
2,19,3,0.2089
2,19,4,0.2264
2,19,5,0.276
2,19,6,0.3168
2,19,7,0.4738
2,19,8,0.4002
2,19,9,0.3856
2,19,10,0.3616
2,19,11,0.3696
2,19,12,0.3697
2,19,13,0.3572
2,19,14,0.3865
2,19,15,0.3878
2,19,16,0.4435
2,19,17,0.5203
2,19,18,0.5857
2,19,19,0.584
2,19,20,0.5781
2,19,21,0.5663
2,19,22,0.4361
2,19,23,0.3291
2,20,0,0.277
2,20,1,0.247
2,20,2,0.2095
2,20,3,0.2224
2,20,4,0.2504
2,20,5,0.2871
2,20,6,0.3607
2,20,7,0.4693
2,20,8,0.456
2,20,9,0.3836
2,20,10,0.3624
2,20,11,0.3566
2,20,12,0.3793
2,20,13,0.3804
2,20,14,0.3803
2,20,15,0.415
2,20,16,0.456
2,20,17,0.5301
2,20,18,0.5904
2,20,19,0.6511
2,20,20,0.5858
2,20,21,0.5642
2,20,22,0.489
2,20,23,0.3504
2,21,0,0.3042
2,21,1,0.256
2,21,2,0.2452
2,21,3,0.2449
2,21,4,0.2603
2,21,5,0.3238
2,21,6,0.4036
2,21,7,0.5262
2,21,8,0.5046
2,21,9,0.4188
2,21,10,0.4158
2,21,11,0.4326
2,21,12,0.4004
2,21,13,0.4268
2,21,14,0.4372
2,21,15,0.477
2,21,16,0.5384
2,21,17,0.5861
2,21,18,0.6275
2,21,19,0.7412
2,21,20,0.6994
2,21,21,0.6511
2,21,22,0.523
2,21,23,0.3973
2,22,0,0.2565
2,22,1,0.2187
2,22,2,0.2084
2,22,3,0.1955
2,22,4,0.2235
2,22,5,0.2736
2,22,6,0.3337
2,22,7,0.4619
2,22,8,0.4156
2,22,9,0.3658
2,22,10,0.363
2,22,11,0.3374
2,22,12,0.3347
2,22,13,0.3298
2,22,14,0.375
2,22,15,0.3776
2,22,16,0.4493
2,22,17,0.4745
2,22,18,0.5777
2,22,19,0.5773
2,22,20,0.5743
2,22,21,0.5386
2,22,22,0.4395
2,22,23,0.3126
2,23,0,0.2798
2,23,1,0.2622
2,23,2,0.2373
2,23,3,0.2296
2,23,4,0.2401
2,23,5,0.2879
2,23,6,0.3592
2,23,7,0.5282
