Month,Day,Hour,SMP
1,7,7,132.55
1,7,8,147.08
1,7,9,153.79
1,7,10,150.32
1,7,11,144.01
1,7,12,136.8
1,7,13,132.78
1,7,14,130.25
1,7,15,136.24
1,7,16,152.42
1,7,17,156.86
1,7,18,156.02
1,7,19,151.18
1,7,20,143.33
1,7,21,140.85
1,7,22,126.3
1,7,23,113.75
1,8,0,99.75
1,8,1,91.74
1,8,2,90.63
1,8,3,90.44
1,8,4,91.07
1,8,5,99.83
1,8,6,111.53
1,8,7,122.84
1,8,8,135.13
1,8,9,140.96
1,8,10,140.48
1,8,11,132.47
1,8,12,127.18
1,8,13,120.39
1,8,14,119.81
1,8,15,129.3
1,8,16,137.19
1,8,17,142.04
1,8,18,146.15
1,8,19,139.35
1,8,20,133.22
1,8,21,126.68
1,8,22,116.69
1,8,23,102.31
1,9,0,105.12
1,9,1,97.71
1,9,2,96.57
1,9,3,97.0
1,9,4,98.58
1,9,5,102.2
1,9,6,116.52
1,9,7,128.65
1,9,8,138.76
1,9,9,147.73
1,9,10,144.18
1,9,11,140.0
1,9,12,134.48
1,9,13,125.62
1,9,14,126.74
1,9,15,131.94
1,9,16,144.91
1,9,17,153.12
1,9,18,153.9
1,9,19,148.96
1,9,20,138.88
1,9,21,135.04
1,9,22,121.86
1,9,23,110.49
1,10,0,104.98
1,10,1,97.12
1,10,2,95.74
1,10,3,95.92
1,10,4,98.08
1,10,5,103.56
1,10,6,118.5
1,10,7,129.37
1,10,8,140.59
1,10,9,146.13
1,10,10,149.67
1,10,11,139.53
1,10,12,134.19
1,10,13,127.53
1,10,14,130.25
1,10,15,135.06
1,10,16,146.59
1,10,17,152.76
1,10,18,156.81
1,10,19,147.49
1,10,20,142.79
1,10,21,136.63
1,10,22,120.81
1,10,23,109.46
1,11,0,104.29
1,11,1,98.79
1,11,2,95.63
1,11,3,97.98
1,11,4,100.87
1,11,5,107.15
1,11,6,116.51
1,11,7,131.37
1,11,8,143.55
1,11,9,148.44
1,11,10,151.77
1,11,11,146.22
1,11,12,138.41
1,11,13,129.28
1,11,14,129.07
1,11,15,138.23
1,11,16,149.17
1,11,17,153.4
1,11,18,155.21
1,11,19,152.26
1,11,20,144.49
1,11,21,137.69
1,11,22,126.78
1,11,23,110.4
1,12,0,102.96
1,12,1,97.86
1,12,2,96.08
1,12,3,94.06
1,12,4,96.45
1,12,5,104.85
1,12,6,115.54
1,12,7,128.99
1,12,8,140.55
1,12,9,145.97
1,12,10,144.66
1,12,11,139.65
1,12,12,134.95
1,12,13,126.28
1,12,14,129.07
1,12,15,133.66
1,12,16,143.58
1,12,17,152.76
1,12,18,150.26
1,12,19,147.81
1,12,20,141.77
1,12,21,135.77
1,12,22,120.78
1,12,23,110.18
1,13,0,105.14
1,13,1,102.12
1,13,2,98.87
1,13,3,98.44
1,13,4,98.84
1,13,5,105.07
1,13,6,118.49
1,13,7,130.41
1,13,8,146.7
1,13,9,151.4
1,13,10,149.31
1,13,11,146.62
1,13,12,135.09
1,13,13,130.15
1,13,14,131.28
1,13,15,135.8
1,13,16,147.57
1,13,17,158.27
1,13,18,157.88
1,13,19,148.72
1,13,20,144.1
1,13,21,135.45
1,13,22,125.43
1,13,23,111.7
1,14,0,102.23
1,14,1,97.19
1,14,2,95.59
1,14,3,94.41
1,14,4,96.12
1,14,5,104.7
1,14,6,115.2
1,14,7,127.52
1,14,8,138.55
1,14,9,147.85
1,14,10,144.68
1,14,11,139.57
1,14,12,134.21
1,14,13,129.07
1,14,14,126.91
1,14,15,136.07
1,14,16,148.01
1,14,17,150.07
1,14,18,152.16
1,14,19,148.24
1,14,20,137.75
1,14,21,134.82
1,14,22,122.7
1,14,23,111.16
1,15,0,100.43
1,15,1,91.24
1,15,2,91.95
1,15,3,88.73
1,15,4,91.46
1,15,5,96.94
1,15,6,110.32
1,15,7,119.62
1,15,8,130.94
1,15,9,139.16
1,15,10,140.24
1,15,11,134.89
1,15,12,128.45
1,15,13,119.37
1,15,14,119.36
1,15,15,129.46
1,15,16,140.11
1,15,17,145.32
1,15,18,144.41
1,15,19,138.74
1,15,20,135.72
1,15,21,127.26
1,15,22,115.9
1,15,23,104.47
1,16,0,96.59
1,16,1,90.93
1,16,2,88.8
1,16,3,89.15
1,16,4,91.63
1,16,5,98.18
1,16,6,107.77
1,16,7,121.21
1,16,8,134.26
1,16,9,138.41
1,16,10,139.95
1,16,11,133.2
1,16,12,127.76
1,16,13,119.07
1,16,14,119.71
1,16,15,126.11
1,16,16,136.95
1,16,17,143.25
1,16,18,144.28
1,16,19,140.9
1,16,20,133.52
1,16,21,126.22
1,16,22,115.51
1,16,23,102.32
1,17,0,107.09
1,17,1,98.25
1,17,2,97.54
1,17,3,97.19
1,17,4,99.7
1,17,5,106.6
1,17,6,116.9
1,17,7,132.78
1,17,8,145.04
1,17,9,150.28
1,17,10,148.33
1,17,11,145.85
1,17,12,136.67
1,17,13,131.57
1,17,14,131.41
1,17,15,134.11
1,17,16,149.88
1,17,17,158.18
1,17,18,157.2
1,17,19,151.72
1,17,20,144.55
1,17,21,139.11
1,17,22,125.6
1,17,23,113.27
1,18,0,97.95
1,18,1,91.67
1,18,2,88.09
1,18,3,88.12
1,18,4,91.42
1,18,5,96.18
1,18,6,108.24
1,18,7,118.85
1,18,8,132.69
1,18,9,137.72
1,18,10,136.24
1,18,11,133.58
1,18,12,126.18
1,18,13,122.25
1,18,14,119.2
1,18,15,124.66
1,18,16,135.8
1,18,17,140.86
1,18,18,143.61
1,18,19,139.25
1,18,20,134.28
1,18,21,125.69
1,18,22,113.93
1,18,23,102.31
1,19,0,97.97
1,19,1,94.13
1,19,2,90.65
1,19,3,90.83
1,19,4,94.09
1,19,5,99.44
1,19,6,110.76
1,19,7,121.31
1,19,8,134.83
1,19,9,135.87
1,19,10,139.62
1,19,11,133.13
1,19,12,126.73
1,19,13,119.55
1,19,14,122.05
1,19,15,129.27
1,19,16,138.44
1,19,17,146.7
1,19,18,142.57
1,19,19,135.93
1,19,20,132.27
1,19,21,128.52
1,19,22,114.45
1,19,23,105.75
1,20,0,97.53
1,20,1,93.46
1,20,2,91.82
1,20,3,89.3
1,20,4,93.25
1,20,5,99.42
1,20,6,111.42
1,20,7,120.9
1,20,8,132.26
1,20,9,137.73
1,20,10,141.39
1,20,11,136.41
1,20,12,130.35
1,20,13,122.15
1,20,14,124.59
1,20,15,128.74
1,20,16,141.39
1,20,17,143.46
1,20,18,146.37
1,20,19,138.63
1,20,20,132.67
1,20,21,127.33
1,20,22,115.64
1,20,23,106.86
1,21,0,101.28
1,21,1,98.06
1,21,2,93.71
1,21,3,93.79
1,21,4,97.35
1,21,5,101.65
1,21,6,112.9
1,21,7,125.94
1,21,8,138.21
1,21,9,146.82
1,21,10,143.73
1,21,11,137.24
1,21,12,132.97
1,21,13,125.39
1,21,14,126.6
1,21,15,131.34
1,21,16,142.11
1,21,17,152.74
1,21,18,150.13
1,21,19,147.75
1,21,20,138.28
1,21,21,133.31
1,21,22,119.51
1,21,23,107.17
1,22,0,100.86
1,22,1,95.61
1,22,2,92.94
1,22,3,93.2
1,22,4,97.05
1,22,5,101.53
1,22,6,116.05
1,22,7,127.36
1,22,8,140.91
1,22,9,144.53
1,22,10,144.38
1,22,11,140.72
1,22,12,130.35
1,22,13,124.73
1,22,14,126.19
1,22,15,131.23
1,22,16,142.52
1,22,17,152.26
1,22,18,151.29
1,22,19,144.69
1,22,20,140.19
1,22,21,130.38
1,22,22,118.4
1,22,23,107.25
1,23,0,107.65
1,23,1,100.74
1,23,2,95.23
1,23,3,98.1
1,23,4,100.02
1,23,5,105.65
1,23,6,117.6
1,23,7,128.44
1,23,8,141.03
1,23,9,149.42
1,23,10,149.98
1,23,11,140.41
1,23,12,134.7
1,23,13,132.66
1,23,14,130.01
1,23,15,138.17
1,23,16,147.85
1,23,17,157.77
1,23,18,158.38
1,23,19,150.51
1,23,20,145.27
1,23,21,136.41
1,23,22,125.31
1,23,23,109.86
1,24,0,108.57
1,24,1,100.03
1,24,2,99.47
1,24,3,100.03
1,24,4,101.69
1,24,5,109.09
1,24,6,117.87
1,24,7,132.27
1,24,8,143.94
1,24,9,154.22
1,24,10,152.1
1,24,11,146.94
1,24,12,139.88
1,24,13,131.18
1,24,14,132.51
1,24,15,139.73
1,24,16,150.44
1,24,17,155.07
1,24,18,159.78
1,24,19,151.26
1,24,20,142.67
1,24,21,138.09
1,24,22,128.46
1,24,23,114.64
1,25,0,99.05
1,25,1,95.35
1,25,2,93.25
1,25,3,91.81
1,25,4,94.64
1,25,5,100.75
1,25,6,110.89
1,25,7,121.27
1,25,8,137.16
1,25,9,140.58
1,25,10,143.73
1,25,11,136.16
1,25,12,128.58
1,25,13,123.65
1,25,14,122.89
1,25,15,129.99
1,25,16,139.45
1,25,17,147.03
1,25,18,146.79
1,25,19,140.08
1,25,20,136.61
1,25,21,130.27
1,25,22,118.08
1,25,23,103.86
1,26,0,102.52
1,26,1,94.22
1,26,2,92.62
1,26,3,92.51
1,26,4,94.44
1,26,5,100.54
1,26,6,112.31
1,26,7,125.23
1,26,8,136.13
1,26,9,141.49
1,26,10,139.91
1,26,11,136.23
1,26,12,130.35
1,26,13,123.47
1,26,14,125.78
1,26,15,132.15
1,26,16,142.91
1,26,17,147.95
1,26,18,146.68
1,26,19,142.28
1,26,20,135.77
1,26,21,131.4
1,26,22,119.79
1,26,23,105.8
1,27,0,98.81
1,27,1,94.69
1,27,2,91.53
1,27,3,91.11
1,27,4,91.65
1,27,5,97.11
1,27,6,112.37
1,27,7,120.92
1,27,8,131.56
1,27,9,142.21
1,27,10,140.2
1,27,11,132.1
1,27,12,129.6
1,27,13,121.23
1,27,14,121.17
1,27,15,130.04
1,27,16,141.72
1,27,17,143.39
1,27,18,144.02
1,27,19,140.94
1,27,20,135.14
1,27,21,125.83
1,27,22,118.32
1,27,23,103.2
1,28,0,99.07
1,28,1,96.84
1,28,2,92.2
1,28,3,93.21
1,28,4,94.86
1,28,5,101.12
1,28,6,113.94
1,28,7,123.08
1,28,8,135.76
1,28,9,139.72
1,28,10,145.36
1,28,11,135.28
1,28,12,128.08
1,28,13,125.57
1,28,14,125.78
1,28,15,133.06
1,28,16,140.05
1,28,17,149.33
1,28,18,148.73
1,28,19,144.02
1,28,20,136.5
1,28,21,132.55
1,28,22,118.16
1,28,23,104.77
1,29,0,100.51
1,29,1,94.29
1,29,2,90.8
1,29,3,93.05
1,29,4,93.44
1,29,5,98.85
1,29,6,112.18
1,29,7,123.46
1,29,8,138.7
1,29,9,144.15
1,29,10,141.39
1,29,11,136.19
1,29,12,130.33
1,29,13,124.39
1,29,14,125.33
1,29,15,127.64
1,29,16,141.07
1,29,17,145.74
1,29,18,150.25
1,29,19,139.87
1,29,20,135.0
1,29,21,127.93
1,29,22,117.2
1,29,23,107.2
1,30,0,106.52
1,30,1,98.85
1,30,2,98.49
1,30,3,97.29
1,30,4,101.18
1,30,5,107.28
1,30,6,120.09
1,30,7,131.4
1,30,8,142.11
1,30,9,147.23
1,30,10,149.3
1,30,11,143.79
1,30,12,135.8
1,30,13,127.69
1,30,14,129.08
1,30,15,138.5
1,30,16,151.67
1,30,17,155.47
1,30,18,154.93
1,30,19,151.58
1,30,20,140.95
1,30,21,136.28
1,30,22,123.28
1,30,23,110.1
1,31,0,102.67
1,31,1,97.01
1,31,2,92.88
1,31,3,93.82
1,31,4,95.78
1,31,5,102.94
1,31,6,110.88
1,31,7,126.25
1,31,8,136.46
1,31,9,142.86
1,31,10,140.08
1,31,11,135.22
1,31,12,132.85
1,31,13,124.95
1,31,14,124.87
1,31,15,132.64
1,31,16,141.17
1,31,17,148.01
1,31,18,148.23
1,31,19,141.78
1,31,20,138.37
1,31,21,132.86
1,31,22,120.2
1,31,23,107.92
2,1,0,104.84
2,1,1,96.24
2,1,2,95.31
2,1,3,96.19
2,1,4,96.71
2,1,5,103.88
2,1,6,117.46
2,1,7,130.5
2,1,8,140.65
2,1,9,147.76
2,1,10,148.81
2,1,11,139.56
2,1,12,136.74
2,1,13,128.88
2,1,14,126.79
2,1,15,137.45
2,1,16,147.52
2,1,17,150.3
2,1,18,153.27
2,1,19,144.88
2,1,20,139.22
2,1,21,136.65
2,1,22,123.14
2,1,23,111.5
2,2,0,96.37
2,2,1,92.95
2,2,2,89.85
2,2,3,88.27
2,2,4,90.88
2,2,5,96.63
2,2,6,110.27
2,2,7,119.5
2,2,8,131.18
2,2,9,136.01
2,2,10,136.71
2,2,11,134.27
2,2,12,124.55
2,2,13,119.01
2,2,14,121.45
2,2,15,124.46
2,2,16,139.39
2,2,17,143.47
2,2,18,144.62
2,2,19,140.4
2,2,20,129.84
2,2,21,127.37
2,2,22,114.33
2,2,23,101.81
2,3,0,99.79
2,3,1,91.68
2,3,2,91.74
2,3,3,90.77
2,3,4,91.4
2,3,5,99.47
2,3,6,111.1
2,3,7,120.57
2,3,8,131.83
2,3,9,137.79
2,3,10,141.47
2,3,11,130.75
2,3,12,129.82
2,3,13,123.55
2,3,14,122.06
2,3,15,129.26
2,3,16,137.93
2,3,17,142.78
2,3,18,145.8
2,3,19,137.72
2,3,20,134.85
2,3,21,129.94
2,3,22,114.74
2,3,23,105.34
2,4,0,99.12
2,4,1,95.55
2,4,2,91.98
2,4,3,91.46
2,4,4,93.39
2,4,5,102.11
2,4,6,114.25
2,4,7,124.92
2,4,8,134.94
2,4,9,143.81
2,4,10,143.54
2,4,11,134.95
2,4,12,128.47
2,4,13,126.41
2,4,14,123.32
2,4,15,130.77
2,4,16,139.73
2,4,17,147.25
2,4,18,149.41
2,4,19,143.09
2,4,20,134.63
2,4,21,132.06
2,4,22,117.18
2,4,23,105.5
2,5,0,103.07
2,5,1,94.75
2,5,2,92.15
2,5,3,92.7
2,5,4,94.52
2,5,5,100.7
2,5,6,112.4
2,5,7,126.52
2,5,8,138.09
2,5,9,142.81
2,5,10,146.74
2,5,11,136.54
2,5,12,130.73
2,5,13,128.45
2,5,14,124.67
2,5,15,131.73
2,5,16,142.75
2,5,17,150.5
2,5,18,149.08
2,5,19,143.66
2,5,20,136.53
2,5,21,130.25
2,5,22,120.02
2,5,23,108.57
2,6,0,105.29
2,6,1,95.39
2,6,2,96.6
2,6,3,96.32
2,6,4,96.16
2,6,5,103.76
2,6,6,113.97
2,6,7,129.63
2,6,8,139.2
2,6,9,148.59
2,6,10,144.33
2,6,11,140.06
2,6,12,132.81
2,6,13,125.41
2,6,14,128.33
2,6,15,134.94
2,6,16,148.74
2,6,17,153.97
2,6,18,152.62
2,6,19,148.12
2,6,20,138.31
2,6,21,133.66
2,6,22,122.26
2,6,23,111.38
2,7,0,105.52
2,7,1,99.72
2,7,2,98.1
2,7,3,96.8
2,7,4,99.58
2,7,5,106.86
2,7,6,116.63
2,7,7,130.27
2,7,8,144.22
2,7,9,150.16
2,7,10,149.6
2,7,11,141.63
2,7,12,134.49
2,7,13,128.98
2,7,14,132.23
2,7,15,135.71
2,7,16,146.93
2,7,17,153.0
2,7,18,154.23
2,7,19,149.28
2,7,20,144.55
2,7,21,138.67
2,7,22,123.56
2,7,23,110.7
2,8,0,98.03
2,8,1,90.64
2,8,2,88.03
2,8,3,89.25
2,8,4,91.47
2,8,5,98.66
2,8,6,107.81
2,8,7,120.56
2,8,8,134.37
2,8,9,138.03
2,8,10,139.66
2,8,11,132.38
2,8,12,126.66
2,8,13,119.79
2,8,14,120.32
2,8,15,125.51
2,8,16,137.58
2,8,17,144.47
2,8,18,145.51
2,8,19,137.33
2,8,20,132.86
2,8,21,123.76
2,8,22,112.38
2,8,23,104.02
2,9,0,98.91
2,9,1,93.14
2,9,2,89.9
2,9,3,89.45
2,9,4,93.65
2,9,5,96.2
2,9,6,108.76
2,9,7,121.26
2,9,8,134.47
2,9,9,140.8
2,9,10,137.73
2,9,11,130.4
2,9,12,126.49
2,9,13,121.89
2,9,14,123.25
2,9,15,125.43
2,9,16,139.02
2,9,17,142.87
2,9,18,144.1
2,9,19,137.79
2,9,20,133.7
2,9,21,128.46
2,9,22,116.56
2,9,23,101.84
2,10,0,103.99
2,10,1,96.47
2,10,2,93.13
2,10,3,95.3
2,10,4,96.42
2,10,5,102.49
2,10,6,115.73
2,10,7,124.91
2,10,8,141.49
2,10,9,145.47
2,10,10,146.53
2,10,11,136.36
2,10,12,133.59
2,10,13,127.05
2,10,14,125.87
2,10,15,131.05
2,10,16,146.04
2,10,17,152.43
2,10,18,153.27
2,10,19,142.15
2,10,20,137.88
2,10,21,133.02
2,10,22,122.88
2,10,23,106.48
2,11,0,101.4
2,11,1,96.21
2,11,2,95.42
2,11,3,92.32
2,11,4,97.78
2,11,5,104.27
2,11,6,113.93
2,11,7,125.66
2,11,8,138.95
2,11,9,143.79
2,11,10,143.86
2,11,11,136.09
2,11,12,134.15
2,11,13,125.33
2,11,14,126.44
2,11,15,130.95
2,11,16,146.59
2,11,17,150.99
2,11,18,152.33
2,11,19,145.19
2,11,20,136.22
2,11,21,130.39
2,11,22,120.86
2,11,23,106.53
2,12,0,101.27
2,12,1,94.26
2,12,2,90.09
2,12,3,90.23
2,12,4,94.05
2,12,5,100.76
2,12,6,113.71
2,12,7,124.78
2,12,8,136.84
2,12,9,141.46
2,12,10,141.95
2,12,11,134.71
2,12,12,128.22
2,12,13,121.4
2,12,14,123.4
2,12,15,130.99
2,12,16,142.98
2,12,17,144.34
2,12,18,147.29
2,12,19,140.77
2,12,20,135.91
2,12,21,131.19
2,12,22,119.71
2,12,23,103.58
2,13,0,100.31
2,13,1,94.64
2,13,2,92.18
2,13,3,93.37
2,13,4,96.03
2,13,5,101.46
2,13,6,111.03
2,13,7,122.36
2,13,8,136.85
2,13,9,143.4
2,13,10,142.51
2,13,11,132.69
2,13,12,131.57
2,13,13,124.12
2,13,14,121.39
2,13,15,130.84
2,13,16,139.87
2,13,17,148.05
2,13,18,146.81
2,13,19,142.26
2,13,20,134.5
2,13,21,130.96
2,13,22,118.02
2,13,23,105.89
2,14,0,104.41
2,14,1,97.34
2,14,2,93.23
2,14,3,94.37
2,14,4,95.84
2,14,5,103.74
2,14,6,113.53
2,14,7,125.89
2,14,8,137.9
2,14,9,147.38
2,14,10,146.16
2,14,11,141.69
2,14,12,131.5
2,14,13,128.07
2,14,14,129.16
2,14,15,135.81
2,14,16,147.41
2,14,17,149.17
2,14,18,151.14
2,14,19,144.47
2,14,20,138.47
2,14,21,135.6
2,14,22,121.14
2,14,23,111.31
2,15,0,97.87
2,15,1,91.59
2,15,2,90.43
2,15,3,90.4
2,15,4,93.16
2,15,5,98.72
2,15,6,110.49
2,15,7,122.59
2,15,8,133.03
2,15,9,138.51
2,15,10,138.65
2,15,11,131.16
2,15,12,127.64
2,15,13,120.6
2,15,14,122.98
2,15,15,125.16
2,15,16,139.21
2,15,17,141.37
2,15,18,145.27
2,15,19,137.37
2,15,20,134.55
2,15,21,125.86
2,15,22,114.67
2,15,23,105.22
2,16,0,100.15
2,16,1,91.09
2,16,2,89.43
2,16,3,91.62
2,16,4,92.54
2,16,5,98.5
2,16,6,110.54
2,16,7,119.48
2,16,8,134.38
2,16,9,136.36
2,16,10,137.66
2,16,11,134.02
2,16,12,128.38
2,16,13,120.57
2,16,14,122.63
2,16,15,126.21
2,16,16,136.27
2,16,17,147.1
2,16,18,146.71
2,16,19,138.86
2,16,20,131.32
2,16,21,129.56
2,16,22,117.6
2,16,23,104.29
2,17,0,97.82
2,17,1,92.38
2,17,2,89.12
2,17,3,91.26
2,17,4,94.36
2,17,5,99.59
2,17,6,108.49
2,17,7,122.86
2,17,8,133.44
2,17,9,137.82
2,17,10,141.56
2,17,11,131.97
2,17,12,128.27
2,17,13,124.63
2,17,14,122.21
2,17,15,125.94
2,17,16,139.42
2,17,17,144.99
2,17,18,142.91
2,17,19,137.36
2,17,20,132.86
2,17,21,126.91
2,17,22,114.09
2,17,23,105.41
2,18,0,104.19
2,18,1,97.26
2,18,2,97.56
2,18,3,97.7
2,18,4,99.68
2,18,5,103.53
2,18,6,116.47
2,18,7,131.97
2,18,8,144.2
2,18,9,149.63
2,18,10,147.06
2,18,11,143.04
2,18,12,137.66
2,18,13,130.32
2,18,14,128.5
2,18,15,138.09
2,18,16,148.64
2,18,17,156.37
2,18,18,157.03
2,18,19,148.63
2,18,20,142.38
2,18,21,138.2
2,18,22,125.19
2,18,23,112.63
2,19,0,102.68
2,19,1,96.16
2,19,2,95.85
2,19,3,96.01
2,19,4,98.97
2,19,5,104.72
2,19,6,118.37
2,19,7,130.0
2,19,8,142.23
2,19,9,148.43
2,19,10,146.19
2,19,11,138.52
2,19,12,135.26
2,19,13,127.25
2,19,14,130.42
2,19,15,131.98
2,19,16,146.03
2,19,17,150.87
2,19,18,152.45
2,19,19,147.54
2,19,20,142.57
2,19,21,136.58
2,19,22,124.27
2,19,23,111.28
2,20,0,97.58
2,20,1,90.2
2,20,2,86.31
2,20,3,87.18
2,20,4,91.58
2,20,5,94.56
2,20,6,108.32
2,20,7,116.8
2,20,8,128.15
2,20,9,135.18
2,20,10,137.5
2,20,11,131.51
2,20,12,126.47
2,20,13,116.4
2,20,14,119.53
2,20,15,123.14
2,20,16,136.51
2,20,17,142.5
2,20,18,141.52
2,20,19,135.75
2,20,20,129.9
2,20,21,124.27
2,20,22,112.18
2,20,23,102.46
2,21,0,101.41
2,21,1,95.01
2,21,2,93.7
2,21,3,92.29
2,21,4,93.18
2,21,5,102.35
2,21,6,114.81
2,21,7,125.18
2,21,8,134.06
2,21,9,143.97
2,21,10,143.13
2,21,11,137.16
2,21,12,128.67
2,21,13,122.53
2,21,14,126.43
2,21,15,130.37
2,21,16,144.43
2,21,17,148.17
2,21,18,150.41
2,21,19,143.9
2,21,20,138.01
2,21,21,128.17
2,21,22,120.13
2,21,23,108.25
2,22,0,104.75
2,22,1,97.11
2,22,2,97.22
2,22,3,95.73
2,22,4,97.78
2,22,5,106.7
2,22,6,119.7
2,22,7,132.17
2,22,8,144.15
2,22,9,149.4
2,22,10,147.93
2,22,11,142.51
2,22,12,138.07
2,22,13,130.07
2,22,14,129.55
2,22,15,137.67
2,22,16,147.03
2,22,17,154.23
2,22,18,155.48
2,22,19,146.96
2,22,20,143.71
2,22,21,136.2
2,22,22,125.39
2,22,23,110.91
2,23,0,94.9
2,23,1,90.11
2,23,2,87.56
2,23,3,88.38
2,23,4,91.7
2,23,5,97.88
2,23,6,109.63
2,23,7,117.04
2,23,8,130.9
2,23,9,133.89
2,23,10,135.22
2,23,11,130.23
2,23,12,123.21
2,23,13,116.66
2,23,14,118.52
2,23,15,124.5
2,23,16,136.77
2,23,17,143.99
2,23,18,143.28
2,23,19,137.29
2,23,20,130.64
2,23,21,124.56
2,23,22,114.4
2,23,23,102.91
2,24,0,102.99
2,24,1,96.89
2,24,2,94.61
2,24,3,95.52
2,24,4,97.98
2,24,5,104.4
2,24,6,115.66
2,24,7,130.23
2,24,8,139.96
2,24,9,148.89
2,24,10,147.79
2,24,11,143.16
2,24,12,138.14
2,24,13,128.96
2,24,14,127.43
2,24,15,136.03
2,24,16,150.75
2,24,17,155.4
2,24,18,154.63
2,24,19,148.58
2,24,20,141.35
2,24,21,134.85
2,24,22,123.6
2,24,23,109.41
2,25,0,96.39
2,25,1,92.65
2,25,2,87.66
2,25,3,89.45
2,25,4,90.67
2,25,5,98.06
2,25,6,109.19
2,25,7,119.73
2,25,8,131.45
2,25,9,139.43
2,25,10,137.5
2,25,11,131.72
2,25,12,126.06
2,25,13,117.79
2,25,14,118.47
2,25,15,123.58
2,25,16,135.22
2,25,17,141.11
2,25,18,145.18
2,25,19,137.97
2,25,20,129.09
2,25,21,124.38
2,25,22,115.14
2,25,23,104.39
2,26,0,98.03
2,26,1,94.17
2,26,2,90.68
2,26,3,91.42
2,26,4,94.83
2,26,5,101.98
2,26,6,112.13
2,26,7,123.12
2,26,8,137.74
2,26,9,142.55
2,26,10,141.57
2,26,11,133.93
2,26,12,128.55
2,26,13,121.47
2,26,14,121.76
2,26,15,131.96
2,26,16,140.94
2,26,17,144.72
2,26,18,148.93
2,26,19,142.75
2,26,20,133.26
2,26,21,130.98
2,26,22,117.24
2,26,23,106.19
2,27,0,96.87
2,27,1,92.02
2,27,2,90.21
2,27,3,91.8
2,27,4,93.44
2,27,5,100.46
2,27,6,109.07
2,27,7,119.83
2,27,8,132.33
2,27,9,138.01
2,27,10,138.64
2,27,11,134.67
2,27,12,126.89
2,27,13,122.26
2,27,14,119.65
2,27,15,129.94
2,27,16,137.79
2,27,17,145.84
2,27,18,144.27
2,27,19,136.54
2,27,20,135.68
2,27,21,127.67
2,27,22,114.52
2,27,23,103.04
2,28,0,102.88
2,28,1,97.06
2,28,2,94.66
2,28,3,92.22
2,28,4,96.43
